,0
476,5.0
477,6.0
478,5.0
479,9.0
480,3.0
481,4.0
482,3.0
483,7.0
484,1.0
485,8.0
486,5.0
487,6.0
488,8.0
489,0.0
490,8.0
491,7.0
492,2.0
493,2.0
494,1.0
495,6.0
496,2.0
497,0.0
498,9.0
499,8.0
500,3.0
501,6.0
502,5.0
503,6.0
504,5.0
505,3.0
506,6.0
507,5.0
508,7.0
509,2.0
510,9.0
511,2.0
512,0.0
513,4.0
514,2.0
515,4.0
516,9.0
517,0.0
518,9.0
519,3.0
520,4.0
521,9.0
522,0.0
523,8.0
524,0.0
525,7.0
526,3.0
527,5.0
528,8.0
529,2.0
530,4.0
531,2.0
532,6.0
533,2.0
534,1.0
535,0.0
536,0.0
537,1.0
538,1.0
539,9.0
540,3.0
541,1.0
542,6.0
543,9.0
544,2.0
545,3.0
546,5.0
547,7.0
548,3.0
549,0.0
550,4.0
551,6.0
552,8.0
553,8.0
554,5.0
555,5.0
556,1.0
557,0.0
558,5.0
559,5.0
560,3.0
561,3.0
562,9.0
563,5.0
564,0.0
565,6.0
566,0.0
567,1.0
568,1.0
569,9.0
570,2.0
571,7.0
572,6.0
573,1.0
574,8.0
575,3.0
576,2.0
577,5.0
578,4.0
579,4.0
580,8.0
581,8.0
582,4.0
583,7.0
584,9.0
585,9.0
586,6.0
587,3.0
588,3.0
589,3.0
590,9.0
591,1.0
592,9.0
593,9.0
594,3.0
595,5.0
596,4.0
597,8.0
598,2.0
599,8.0
600,0.0
601,4.0
602,4.0
603,2.0
604,7.0
605,4.0
606,0.0
607,8.0
608,6.0
609,0.0
610,5.0
611,2.0
612,4.0
613,1.0
614,3.0
615,3.0
616,1.0
617,5.0
618,4.0
619,5.0
620,0.0
621,8.0
622,3.0
623,8.0
624,3.0
625,6.0
626,7.0
627,2.0
628,3.0
629,6.0
630,8.0
631,4.0
632,7.0
633,3.0
634,1.0
635,2.0
636,8.0
637,2.0
638,4.0
639,0.0
640,1.0
641,8.0
642,9.0
643,6.0
644,9.0
645,5.0
646,7.0
647,8.0
648,1.0
649,3.0
650,2.0
651,5.0
652,2.0
653,6.0
654,3.0
655,1.0
656,2.0
657,4.0
658,6.0
659,8.0
660,0.0
661,5.0
662,9.0
663,5.0
664,9.0
665,1.0
666,8.0
667,2.0
668,4.0
669,4.0
670,6.0
671,0.0
672,5.0
673,4.0
674,8.0
675,7.0
676,7.0
677,8.0
678,5.0
679,3.0
680,2.0
681,7.0
682,1.0
683,0.0
684,4.0
685,6.0
686,5.0
687,4.0
688,7.0
689,5.0
690,2.0
691,4.0
692,1.0
693,3.0
694,9.0
695,6.0
696,7.0
697,4.0
698,8.0
699,5.0
700,3.0
701,9.0
702,2.0
703,8.0
704,8.0
705,0.0
706,3.0
707,7.0
708,1.0
709,3.0
710,4.0
711,7.0
712,6.0
713,9.0
714,5.0
715,5.0
716,7.0
717,2.0
718,6.0
719,9.0
720,3.0
721,9.0
722,4.0
723,6.0
724,4.0
725,9.0
726,5.0
727,9.0
728,5.0
729,5.0
730,0.0
731,3.0
732,0.0
733,8.0
734,2.0
735,3.0
736,0.0
737,4.0
738,8.0
739,2.0
740,7.0
741,8.0
742,7.0
743,6.0
744,1.0
745,9.0
746,6.0
747,5.0
748,6.0
749,0.0
750,5.0
751,9.0
752,5.0
753,4.0
754,1.0
755,2.0
756,0.0
757,2.0
758,1.0
759,8.0
760,2.0
761,2.0
762,6.0
763,4.0
764,5.0
765,1.0
766,6.0
767,0.0
768,7.0
769,8.0
770,8.0
771,9.0
772,8.0
773,6.0
774,2.0
775,0.0
776,5.0
777,1.0
778,8.0
779,2.0
780,8.0
781,9.0
782,1.0
783,8.0
784,4.0
785,7.0
786,9.0
787,1.0
788,7.0
789,1.0
790,2.0
791,7.0
792,1.0
793,6.0
794,7.0
795,8.0
796,9.0
797,0.0
798,6.0
799,9.0
800,1.0
801,3.0
802,1.0
803,8.0
804,2.0
805,6.0
806,9.0
807,2.0
808,8.0
809,6.0
810,2.0
811,6.0
812,6.0
813,0.0
814,9.0
815,9.0
816,9.0
817,8.0
818,2.0
819,9.0
820,3.0
821,9.0
822,7.0
823,8.0
824,2.0
825,3.0
826,1.0
827,2.0
828,6.0
829,2.0
830,7.0
831,8.0
832,8.0
833,1.0
834,9.0
835,2.0
836,9.0
837,2.0
838,8.0
839,4.0
840,1.0
841,4.0
842,0.0
843,1.0
844,2.0
845,6.0
846,0.0
847,4.0
848,0.0
849,2.0
850,4.0
851,7.0
852,2.0
853,6.0
854,2.0
855,6.0
856,7.0
857,9.0
858,6.0
859,0.0
860,9.0
861,0.0
862,2.0
863,6.0
864,7.0
865,4.0
866,8.0
867,9.0
868,8.0
869,9.0
870,3.0
871,7.0
872,8.0
873,9.0
874,9.0
875,6.0
876,6.0
877,9.0
878,2.0
879,1.0
880,7.0
881,2.0
882,3.0
883,6.0
884,0.0
885,4.0
886,1.0
887,2.0
888,9.0
889,6.0
890,2.0
891,3.0
892,1.0
893,3.0
894,3.0
895,6.0
896,6.0
897,1.0
898,1.0
899,4.0
900,5.0
901,6.0
902,1.0
903,2.0
904,2.0
905,6.0
906,0.0
907,6.0
908,3.0
909,3.0
910,5.0
911,0.0
912,6.0
913,2.0
914,1.0
915,8.0
916,0.0
917,2.0
918,1.0
919,6.0
920,5.0
921,7.0
922,9.0
923,8.0
924,6.0
925,1.0
926,6.0
927,5.0
928,4.0
929,8.0
930,5.0
931,6.0
932,1.0
933,6.0
934,5.0
935,0.0
936,3.0
937,0.0
938,3.0
939,9.0
940,1.0
941,0.0
942,1.0
943,2.0
944,5.0
945,9.0
946,7.0
947,6.0
948,6.0
949,2.0
950,9.0
951,3.0
952,3.0
953,4.0
954,3.0
955,9.0
956,5.0
957,3.0
958,7.0
959,1.0
960,6.0
961,0.0
962,2.0
963,7.0
964,0.0
965,7.0
966,1.0
967,7.0
968,8.0
969,0.0
970,2.0
971,9.0
972,6.0
973,1.0
974,4.0
975,6.0
976,6.0
977,3.0
978,2.0
979,1.0
980,4.0
981,7.0
982,5.0
983,3.0
984,2.0
985,0.0
986,7.0
987,3.0
988,1.0
989,9.0
990,1.0
991,4.0
992,4.0
993,2.0
994,6.0
995,5.0
996,0.0
997,4.0
998,8.0
999,1.0
1000,5.0
1001,5.0
1002,0.0
1003,0.0
1004,7.0
1005,5.0
1006,4.0
1007,8.0
1008,9.0
1009,9.0
1010,3.0
1011,9.0
1012,6.0
1013,4.0
1014,4.0
1015,6.0
1016,0.0
1017,0.0
1018,0.0
1019,8.0
1020,7.0
1021,4.0
1022,3.0
1023,4.0
1024,4.0
1025,6.0
1026,7.0
1027,8.0
1028,3.0
1029,0.0
1030,5.0
1031,3.0
1032,2.0
1033,9.0
1034,0.0
1035,0.0
1036,1.0
1037,6.0
1038,0.0
1039,7.0
1040,3.0
1041,5.0
1042,0.0
1043,0.0
1044,4.0
1045,8.0
1046,7.0
1047,6.0
1048,4.0
1049,6.0
1050,5.0
1051,0.0
1052,1.0
1053,7.0
1054,7.0
1055,1.0
1056,1.0
1057,0.0
1058,0.0
1059,3.0
1060,5.0
1061,4.0
1062,4.0
1063,6.0
1064,9.0
1065,6.0
1066,8.0
1067,8.0
1068,2.0
1069,1.0
1070,1.0
1071,5.0
1072,2.0
1073,0.0
1074,0.0
1075,1.0
1076,3.0
1077,1.0
1078,0.0
1079,0.0
1080,0.0
1081,2.0
1082,9.0
1083,8.0
1084,7.0
1085,9.0
1086,3.0
1087,1.0
1088,7.0
1089,9.0
1090,7.0
1091,8.0
1092,1.0
1093,5.0
1094,8.0
1095,4.0
1096,4.0
1097,0.0
1098,8.0
1099,6.0
1100,7.0
1101,8.0
1102,0.0
1103,8.0
1104,1.0
1105,2.0
1106,9.0
1107,4.0
1108,0.0
1109,6.0
1110,1.0
1111,6.0
1112,8.0
1113,5.0
1114,1.0
1115,2.0
1116,0.0
1117,4.0
1118,9.0
1119,4.0
1120,1.0
1121,8.0
1122,0.0
1123,0.0
1124,1.0
1125,5.0
1126,4.0
1127,9.0
1128,8.0
1129,5.0
1130,3.0
1131,4.0
1132,3.0
1133,1.0
1134,3.0
1135,6.0
1136,0.0
1137,1.0
1138,8.0
1139,7.0
1140,9.0
1141,3.0
1142,2.0
1143,4.0
1144,6.0
1145,0.0
1146,6.0
1147,9.0
1148,4.0
1149,0.0
1150,7.0
1151,1.0
1152,2.0
1153,9.0
1154,2.0
1155,7.0
1156,0.0
1157,6.0
1158,6.0
1159,1.0
1160,3.0
1161,1.0
1162,3.0
1163,0.0
1164,0.0
1165,5.0
1166,8.0
1167,2.0
1168,2.0
1169,6.0
1170,2.0
1171,1.0
1172,4.0
1173,3.0
1174,1.0
1175,1.0
1176,5.0
1177,7.0
1178,8.0
1179,0.0
1180,5.0
1181,8.0
1182,6.0
1183,0.0
1184,8.0
1185,1.0
1186,0.0
1187,6.0
1188,7.0
1189,8.0
1190,7.0
1191,5.0
1192,5.0
1193,0.0
1194,8.0
1195,8.0
1196,7.0
1197,1.0
1198,9.0
1199,9.0
1200,8.0
1201,8.0
1202,3.0
1203,7.0
1204,9.0
1205,2.0
1206,7.0
1207,8.0
1208,0.0
1209,2.0
1210,3.0
1211,8.0
1212,1.0
1213,0.0
1214,6.0
1215,7.0
1216,7.0
1217,0.0
1218,5.0
1219,1.0
1220,2.0
1221,5.0
1222,2.0
1223,9.0
1224,0.0
1225,9.0
1226,7.0
1227,8.0
1228,5.0
1229,2.0
1230,2.0
1231,5.0
1232,6.0
1233,5.0
1234,3.0
1235,3.0
1236,0.0
1237,3.0
1238,9.0
1239,0.0
1240,6.0
1241,5.0
1242,9.0
1243,2.0
1244,1.0
1245,1.0
1246,4.0
1247,3.0
1248,7.0
1249,5.0
1250,0.0
1251,9.0
1252,4.0
1253,7.0
1254,6.0
1255,1.0
1256,7.0
1257,6.0
1258,1.0
1259,5.0
1260,2.0
1261,4.0
1262,7.0
1263,0.0
1264,0.0
1265,8.0
1266,7.0
1267,9.0
1268,1.0
1269,8.0
1270,6.0
1271,4.0
1272,0.0
1273,8.0
1274,7.0
1275,1.0
1276,2.0
1277,1.0
1278,9.0
1279,6.0
1280,9.0
1281,5.0
1282,3.0
1283,5.0
1284,2.0
1285,7.0
1286,8.0
1287,0.0
1288,8.0
1289,5.0
1290,0.0
1291,4.0
1292,0.0
1293,8.0
1294,4.0
1295,0.0
1296,9.0
1297,7.0
1298,4.0
1299,9.0
1300,8.0
1301,8.0
1302,9.0
1303,7.0
1304,1.0
1305,9.0
1306,3.0
1307,3.0
1308,7.0
1309,3.0
1310,6.0
1311,5.0
1312,7.0
1313,9.0
1314,7.0
1315,6.0
1316,6.0
1317,1.0
1318,3.0
1319,8.0
1320,3.0
1321,4.0
1322,2.0
1323,1.0
1324,7.0
1325,1.0
1326,2.0
1327,3.0
1328,7.0
1329,7.0
1330,8.0
1331,5.0
1332,2.0
1333,7.0
1334,8.0
1335,0.0
1336,5.0
1337,3.0
1338,4.0
1339,7.0
1340,3.0
1341,3.0
1342,9.0
1343,1.0
1344,0.0
1345,9.0
1346,8.0
1347,7.0
1348,1.0
1349,8.0
1350,7.0
1351,3.0
1352,2.0
1353,7.0
1354,9.0
1355,4.0
1356,4.0
1357,7.0
1358,9.0
1359,2.0
1360,5.0
1361,6.0
1362,8.0
1363,6.0
1364,2.0
1365,4.0
1366,7.0
1367,4.0
1368,5.0
1369,1.0
1370,1.0
1371,3.0
1372,3.0
1373,2.0
1374,0.0
1375,9.0
1376,7.0
1377,2.0
1378,4.0
1379,7.0
1380,0.0
1381,6.0
1382,7.0
1383,9.0
1384,1.0
1385,5.0
1386,9.0
1387,1.0
1388,0.0
1389,8.0
1390,5.0
1391,0.0
1392,9.0
1393,8.0
1394,2.0
1395,1.0
1396,8.0
1397,9.0
1398,5.0
1399,6.0
1400,4.0
1401,6.0
1402,5.0
1403,9.0
1404,2.0
1405,0.0
1406,6.0
1407,6.0
1408,8.0
1409,4.0
1410,4.0
1411,1.0
1412,0.0
1413,3.0
1414,4.0
1415,7.0
1416,5.0
1417,7.0
1418,5.0
1419,8.0
1420,7.0
1421,0.0
1422,8.0
1423,9.0
1424,6.0
1425,0.0
1426,4.0
1427,4.0
1428,1.0
1429,1.0
1430,0.0
1431,6.0
1432,2.0
1433,5.0
1434,6.0
1435,7.0
1436,9.0
1437,1.0
1438,0.0
1439,8.0
1440,2.0
1441,6.0
1442,1.0
1443,6.0
1444,0.0
1445,2.0
1446,8.0
1447,7.0
1448,2.0
1449,2.0
1450,4.0
1451,0.0
1452,2.0
1453,5.0
1454,3.0
1455,7.0
1456,3.0
1457,4.0
1458,1.0
1459,3.0
1460,9.0
1461,9.0
1462,7.0
1463,9.0
1464,1.0
1465,4.0
1466,6.0
1467,6.0
1468,4.0
1469,5.0
1470,6.0
1471,9.0
1472,5.0
1473,8.0
1474,7.0
1475,7.0
1476,5.0
1477,9.0
1478,5.0
1479,1.0
1480,5.0
1481,1.0
1482,7.0
1483,1.0
1484,3.0
1485,2.0
1486,9.0
1487,3.0
1488,0.0
1489,5.0
1490,2.0
1491,4.0
1492,0.0
1493,1.0
1494,2.0
1495,8.0
1496,8.0
1497,3.0
1498,0.0
1499,5.0
1500,9.0
1501,0.0
1502,2.0
1503,6.0
1504,9.0
1505,4.0
1506,7.0
1507,7.0
1508,2.0
1509,7.0
1510,3.0
1511,6.0
1512,3.0
1513,0.0
1514,4.0
1515,1.0
1516,4.0
1517,6.0
1518,7.0
1519,8.0
1520,7.0
1521,7.0
1522,3.0
1523,1.0
1524,9.0
1525,4.0
1526,2.0
1527,0.0
1528,7.0
1529,6.0
1530,4.0
1531,2.0
1532,7.0
1533,5.0
1534,0.0
1535,8.0
1536,6.0
1537,8.0
1538,8.0
1539,2.0
1540,3.0
1541,3.0
1542,2.0
1543,4.0
1544,0.0
1545,5.0
1546,1.0
1547,5.0
1548,9.0
1549,1.0
1550,7.0
1551,8.0
1552,1.0
1553,4.0
1554,2.0
1555,0.0
1556,9.0
1557,0.0
1558,2.0
1559,4.0
1560,7.0
1561,8.0
1562,3.0
1563,1.0
1564,1.0
1565,1.0
1566,9.0
1567,4.0
1568,3.0
1569,8.0
1570,7.0
1571,9.0
1572,5.0
1573,4.0
1574,4.0
1575,2.0
1576,6.0
1577,2.0
1578,2.0
1579,4.0
1580,9.0
1581,6.0
1582,2.0
1583,2.0
1584,6.0
1585,1.0
1586,3.0
1587,6.0
1588,7.0
1589,8.0
1590,8.0
1591,9.0
1592,9.0
1593,8.0
1594,9.0
1595,5.0
1596,5.0
1597,6.0
1598,5.0
1599,6.0
1600,8.0
1601,6.0
1602,1.0
1603,7.0
1604,5.0
1605,8.0
1606,5.0
1607,2.0
1608,1.0
1609,0.0
1610,4.0
1611,8.0
1612,3.0
1613,0.0
1614,3.0
1615,3.0
1616,6.0
1617,2.0
1618,4.0
1619,8.0
1620,8.0
1621,3.0
1622,8.0
1623,0.0
1624,1.0
1625,8.0
1626,8.0
1627,1.0
1628,8.0
1629,4.0
1630,4.0
1631,1.0
1632,3.0
1633,7.0
1634,1.0
1635,0.0
1636,4.0
1637,3.0
1638,2.0
1639,7.0
1640,2.0
1641,5.0
1642,8.0
1643,6.0
1644,3.0
1645,8.0
1646,1.0
1647,5.0
1648,5.0
1649,5.0
1650,7.0
1651,7.0
1652,4.0
1653,7.0
1654,2.0
1655,5.0
1656,4.0
1657,5.0
1658,3.0
1659,1.0
1660,2.0
1661,0.0
1662,1.0
1663,4.0
1664,1.0
1665,2.0
1666,6.0
1667,9.0
1668,7.0
1669,1.0
1670,0.0
1671,1.0
1672,3.0
1673,3.0
1674,7.0
1675,6.0
1676,4.0
1677,5.0
1678,3.0
1679,8.0
1680,0.0
1681,0.0
1682,1.0
1683,8.0
1684,2.0
1685,2.0
1686,2.0
1687,9.0
1688,7.0
1689,5.0
1690,8.0
1691,2.0
1692,6.0
1693,6.0
1694,7.0
1695,2.0
1696,8.0
1697,8.0
1698,6.0
1699,8.0
1700,2.0
1701,9.0
1702,2.0
1703,8.0
1704,2.0
1705,7.0
1706,2.0
1707,7.0
1708,2.0
1709,2.0
1710,4.0
1711,9.0
1712,2.0
1713,9.0
1714,5.0
1715,0.0
1716,3.0
1717,2.0
1718,7.0
1719,4.0
1720,6.0
1721,7.0
1722,9.0
1723,6.0
1724,7.0
1725,5.0
1726,5.0
1727,8.0
1728,8.0
1729,3.0
1730,2.0
1731,5.0
1732,6.0
1733,1.0
1734,0.0
1735,0.0
1736,0.0
1737,2.0
1738,1.0
1739,3.0
1740,6.0
1741,8.0
1742,3.0
1743,5.0
1744,5.0
1745,4.0
1746,9.0
1747,1.0
1748,4.0
1749,7.0
1750,6.0
1751,5.0
1752,5.0
1753,3.0
1754,3.0
1755,2.0
1756,9.0
1757,2.0
1758,0.0
1759,0.0
1760,0.0
1761,7.0
1762,3.0
1763,6.0
1764,8.0
1765,0.0
1766,7.0
1767,9.0
1768,1.0
1769,5.0
1770,8.0
1771,9.0
1772,3.0
1773,6.0
1774,4.0
1775,6.0
1776,4.0
1777,5.0
1778,5.0
1779,8.0
1780,4.0
1781,2.0
1782,0.0
1783,4.0
1784,8.0
1785,8.0
1786,5.0
1787,0.0
1788,6.0
1789,3.0
1790,4.0
1791,6.0
1792,4.0
1793,0.0
1794,6.0
1795,9.0
1796,6.0
1797,1.0
1798,2.0
1799,8.0
1800,1.0
1801,7.0
1802,4.0
1803,8.0
1804,3.0
1805,4.0
1806,9.0
1807,4.0
1808,4.0
1809,2.0
1810,2.0
1811,4.0
1812,3.0
1813,4.0
1814,0.0
1815,2.0
1816,3.0
1817,5.0
1818,7.0
1819,3.0
1820,9.0
1821,9.0
1822,5.0
1823,6.0
1824,2.0
1825,8.0
1826,3.0
1827,1.0
1828,5.0
1829,3.0
1830,5.0
1831,5.0
1832,3.0
1833,3.0
1834,6.0
1835,7.0
1836,7.0
1837,9.0
1838,5.0
1839,5.0
1840,3.0
1841,0.0
1842,0.0
1843,4.0
1844,4.0
1845,7.0
1846,7.0
1847,5.0
1848,6.0
1849,9.0
1850,3.0
1851,9.0
1852,1.0
1853,0.0
1854,6.0
1855,2.0
1856,0.0
1857,8.0
1858,2.0
1859,1.0
1860,9.0
1861,4.0
1862,7.0
1863,1.0
1864,1.0
1865,2.0
1866,1.0
1867,6.0
1868,1.0
1869,2.0
1870,2.0
1871,3.0
1872,3.0
1873,8.0
1874,7.0
1875,5.0
1876,0.0
1877,8.0
1878,8.0
1879,5.0
1880,9.0
1881,4.0
1882,7.0
1883,4.0
1884,4.0
1885,6.0
1886,8.0
1887,8.0
1888,0.0
1889,5.0
1890,5.0
1891,9.0
1892,8.0
1893,0.0
1894,0.0
1895,9.0
1896,9.0
1897,6.0
1898,3.0
1899,0.0
1900,8.0
1901,3.0
1902,4.0
1903,1.0
1904,1.0
1905,7.0
1906,7.0
1907,7.0
1908,9.0
1909,1.0
1910,7.0
1911,7.0
1912,4.0
1913,3.0
1914,4.0
1915,3.0
1916,4.0
1917,6.0
1918,8.0
1919,4.0
1920,7.0
1921,8.0
1922,7.0
1923,6.0
1924,7.0
1925,6.0
1926,1.0
1927,6.0
1928,7.0
1929,4.0
1930,2.0
1931,0.0
1932,0.0
1933,6.0
1934,7.0
1935,8.0
1936,9.0
1937,3.0
1938,8.0
1939,6.0
1940,6.0
1941,7.0
1942,7.0
1943,6.0
1944,3.0
1945,9.0
1946,8.0
1947,7.0
1948,9.0
1949,7.0
1950,5.0
1951,4.0
1952,6.0
1953,2.0
1954,5.0
1955,7.0
1956,2.0
1957,2.0
1958,5.0
1959,1.0
1960,9.0
1961,4.0
1962,1.0
1963,4.0
1964,1.0
1965,2.0
1966,1.0
1967,0.0
1968,8.0
1969,8.0
1970,5.0
1971,7.0
1972,5.0
1973,8.0
1974,7.0
1975,3.0
1976,2.0
1977,6.0
1978,7.0
1979,1.0
1980,9.0
1981,0.0
1982,9.0
1983,4.0
1984,6.0
1985,5.0
1986,6.0
1987,8.0
1988,3.0
1989,7.0
1990,7.0
1991,7.0
1992,0.0
1993,5.0
1994,7.0
1995,1.0
1996,2.0
1997,2.0
1998,6.0
1999,7.0
2000,7.0
2001,7.0
2002,3.0
2003,5.0
2004,2.0
2005,3.0
2006,4.0
2007,1.0
2008,0.0
2009,6.0
2010,8.0
2011,3.0
2012,5.0
2013,2.0
2014,6.0
2015,8.0
2016,9.0
2017,1.0
2018,5.0
2019,5.0
2020,1.0
2021,6.0
2022,5.0
2023,9.0
2024,7.0
2025,2.0
2026,1.0
2027,2.0
2028,4.0
2029,0.0
2030,4.0
2031,8.0
2032,4.0
2033,6.0
2034,3.0
2035,8.0
2036,1.0
2037,7.0
2038,1.0
2039,7.0
2040,5.0
2041,8.0
2042,5.0
2043,2.0
2044,7.0
2045,6.0
2046,9.0
2047,7.0
2048,9.0
2049,5.0
2050,0.0
2051,5.0
2052,9.0
2053,1.0
2054,0.0
2055,2.0
2056,1.0
2057,6.0
2058,7.0
2059,9.0
2060,7.0
2061,7.0
2062,1.0
2063,9.0
2064,6.0
2065,2.0
2066,8.0
2067,9.0
2068,1.0
2069,1.0
2070,2.0
2071,1.0
2072,7.0
2073,4.0
2074,1.0
2075,7.0
2076,4.0
2077,6.0
2078,9.0
2079,8.0
2080,6.0
2081,7.0
2082,4.0
2083,9.0
2084,5.0
2085,7.0
2086,1.0
2087,6.0
2088,8.0
2089,9.0
2090,0.0
2091,3.0
2092,9.0
2093,6.0
2094,4.0
2095,2.0
2096,4.0
2097,8.0
2098,7.0
2099,9.0
2100,4.0
2101,9.0
2102,3.0
2103,7.0
2104,5.0
2105,1.0
2106,2.0
2107,2.0
2108,6.0
2109,3.0
2110,6.0
2111,7.0
2112,7.0
2113,5.0
2114,0.0
2115,0.0
2116,2.0
2117,1.0
2118,8.0
2119,8.0
2120,9.0
2121,3.0
2122,3.0
2123,7.0
2124,5.0
2125,0.0
2126,1.0
2127,1.0
2128,2.0
2129,6.0
2130,7.0
2131,2.0
2132,5.0
2133,9.0
2134,5.0
2135,6.0
2136,7.0
2137,6.0
2138,2.0
2139,9.0
2140,9.0
2141,6.0
